WKT,id,lat,lon
POINT (112.118751680441 -3.03455426922488),267,-3.04,112.118751
POINT (112.152413454319 -3.07634692901257),268,-3.08,112.152413
POINT (112.152413454319 -3.07634692901257),269,-3.08,112.152413
POINT (112.082408226081 -3.26288117246218),270,-3.26,112.082408
POINT (112.082408226081 -3.26288117246218),271,-3.26,112.082408
POINT (111.974246411694 -3.07895189482582),272,-3.08,111.974246
POINT (111.974246411694 -3.07895189482582),273,-3.08,111.974246
POINT (111.756591025202 -2.89181348155241),274,-2.89,111.756591
POINT (111.756591025202 -2.89181348155241),275,-2.89,111.756591
POINT (111.86476932602 -2.8394502063052),276,-2.84,111.864769
POINT (111.86476932602 -2.8394502063052),277,-2.84,111.864769
POINT (111.96924382893 -2.89953869791136),278,-2.90,111.969243
POINT (111.96924382893 -2.89953869791136),279,-2.90,111.969243
POINT (111.896547154807 -3.0331562385191),280,-3.03,111.896547
POINT (111.896547154807 -3.0331562385191),281,-3.03,111.896547
POINT (111.940268625009 -3.08965762081244),282,-3.09,111.940268
POINT (111.940268625009 -3.08965762081244),283,-3.09,111.940268
POINT (111.855053597438 -2.85400731562668),284,-2.85,111.855053
POINT (111.855053597438 -2.85400731562668),285,-2.85,111.855053
POINT (112.082712033234 -2.93265001062554),286,-2.93,112.082712
POINT (112.082712033234 -2.93265001062554),287,-2.93,112.082712
POINT (111.758316251494 -2.85078919519629),288,-2.85,111.758316
POINT (111.758316251494 -2.85078919519629),289,-2.85,111.758316
POINT (112.083038935623 -3.21725888820247),290,-3.22,112.083038
POINT (112.083038935623 -3.21725888820247),291,-3.22,112.083038
POINT (111.849110764163 -3.18437757863069),292,-3.18,111.84911
POINT (111.849110764163 -3.18437757863069),293,-3.18,111.84911
POINT (111.861005873976 -3.3855706709469),294,-3.39,111.861005
POINT (111.861005873976 -3.3855706709469),295,-3.39,111.861005
POINT (111.873784425308 -3.34389126057829),296,-3.34,111.873784
POINT (111.873784425308 -3.34389126057829),297,-3.34,111.873784
POINT (111.902070902046 -2.77867582736766),298,-2.78,111.90207
POINT (111.902070902046 -2.77867582736766),299,-2.78,111.90207
POINT (111.876626574706 -3.15591745457209),300,-3.16,111.876626
POINT (111.876626574706 -3.15591745457209),301,-3.16,111.876626
POINT (111.818533358942 -3.11020629762644),302,-3.11,111.818533
POINT (111.818533358942 -3.11020629762644),303,-3.11,111.818533
POINT (111.87619739915 -3.46760217586912),304,-3.47,111.876197
POINT (111.87619739915 -3.46760217586912),305,-3.47,111.876197
POINT (111.955423604352 -3.03582339202956),306,-3.04,111.955423
POINT (111.955423604352 -3.03582339202956),307,-3.04,111.955423
POINT (112.117013489037 -2.97397925223633),308,-2.97,112.117013
POINT (112.117013489037 -2.97397925223633),309,-2.97,112.117013
POINT (112.050110361522 -3.16487416001666),310,-3.17,112.05011
POINT (112.050110361522 -3.16487416001666),311,-3.17,112.05011
POINT (111.977681062605 -3.15928909658404),312,-3.16,111.977681
POINT (111.977681062605 -3.15928909658404),313,-3.16,111.977681
POINT (111.847682736516 -3.26085329284891),314,-3.26,111.847682
POINT (111.847682736516 -3.26085329284891),315,-3.26,111.847682
POINT (112.006535274906 -3.01020220045454),316,-3.01,112.006535
POINT (112.006535274906 -3.01020220045454),317,-3.01,112.006535
POINT (111.845039562697 -2.80068160389567),318,-2.80,111.845039
POINT (111.845039562697 -2.80068160389567),319,-2.80,111.845039
POINT (111.84240075272 -3.09737636669842),320,-3.10,111.8424
POINT (111.84240075272 -3.09737636669842),321,-3.10,111.8424
POINT (112.078939501717 -3.34616944519606),322,-3.35,112.078939
POINT (112.078939501717 -3.34616944519606),323,-3.35,112.078939
POINT (112.027784392384 -3.2097287909176),324,-3.21,112.027784
POINT (112.027784392384 -3.2097287909176),325,-3.21,112.027784
POINT (111.963159979532 -3.44761562427355),326,-3.45,111.963159
POINT (111.963159979532 -3.44761562427355),327,-3.45,111.963159
POINT (112.175500214265 -2.97056441687386),328,-2.97,112.1755
POINT (112.175500214265 -2.97056441687386),329,-2.97,112.1755
POINT (111.903992691732 -3.44409481833088),330,-3.44,111.903992
POINT (111.903992691732 -3.44409481833088),331,-3.44,111.903992
POINT (111.931578410272 -3.17601147160464),332,-3.18,111.931578
POINT (111.931578410272 -3.17601147160464),333,-3.18,111.931578
POINT (111.820601989396 -3.00958537299525),334,-3.01,111.820601
POINT (111.820601989396 -3.00958537299525),335,-3.01,111.820601
POINT (111.974050240184 -2.99902960196534),336,-3.00,111.97405
POINT (111.974050240184 -2.99902960196534),337,-3.00,111.97405
POINT (112.095843073988 -3.04110729231055),338,-3.04,112.095843
POINT (112.095843073988 -3.04110729231055),339,-3.04,112.095843
POINT (112.135968659566 -3.23059988316635),340,-3.23,112.135968
POINT (112.135968659566 -3.23059988316635),341,-3.23,112.135968
POINT (112.018667082206 -3.09241384539748),342,-3.09,112.018667
POINT (112.018667082206 -3.09241384539748),343,-3.09,112.018667
POINT (112.058424081089 -3.24684011123622),344,-3.25,112.058424
POINT (112.058424081089 -3.24684011123622),345,-3.25,112.058424
POINT (112.033854247486 -3.15574972792642),346,-3.16,112.033854
POINT (112.033854247486 -3.15574972792642),347,-3.16,112.033854
POINT (111.926419837476 -3.44580370264649),348,-3.45,111.926419
POINT (111.926419837476 -3.44580370264649),349,-3.45,111.926419
POINT (111.949943589514 -2.6350763255022),350,-2.64,111.949943
POINT (111.949943589514 -2.6350763255022),351,-2.64,111.949943
POINT (111.827915172316 -2.82853327494677),352,-2.83,111.827915
POINT (111.827915172316 -2.82853327494677),353,-2.83,111.827915
POINT (111.877349665822 -3.34377610692144),354,-3.34,111.877349
POINT (111.877349665822 -3.34377610692144),355,-3.34,111.877349
POINT (111.865055427242 -3.12023290142029),356,-3.12,111.865055
POINT (111.865055427242 -3.12023290142029),357,-3.12,111.865055
POINT (112.014263426803 -3.41387358220893),358,-3.41,112.014263
POINT (112.014263426803 -3.41387358220893),359,-3.41,112.014263
POINT (112.200200481855 -3.10463212764199),360,-3.11,112.2002
POINT (112.200200481855 -3.10463212764199),361,-3.11,112.2002
POINT (112.08652779457 -3.14076776762811),362,-3.14,112.086527
POINT (112.08652779457 -3.14076776762811),363,-3.14,112.086527
POINT (111.912751203088 -2.70216500845492),364,-2.70,111.912751
POINT (111.912751203088 -2.70216500845492),365,-2.70,111.912751
POINT (111.894301653531 -2.76622463605145),366,-2.77,111.894301
POINT (111.894301653531 -2.76622463605145),367,-2.77,111.894301
POINT (112.186012989532 -3.25894946581466),368,-3.26,112.186012
POINT (112.186012989532 -3.25894946581466),369,-3.26,112.186012
POINT (112.176734355982 -3.03983649655519),370,-3.04,112.176734
POINT (112.176734355982 -3.03983649655519),371,-3.04,112.176734
POINT (112.096994725241 -3.20557189020239),372,-3.21,112.096994
POINT (112.096994725241 -3.20557189020239),373,-3.21,112.096994
POINT (111.839040883509 -3.10052704920574),374,-3.10,111.83904
POINT (111.839040883509 -3.10052704920574),375,-3.10,111.83904
POINT (111.918159289085 -2.6803966706718),376,-2.68,111.918159
POINT (111.918159289085 -2.6803966706718),377,-2.68,111.918159
POINT (112.060335992648 -2.69166237380924),378,-2.69,112.060335
POINT (112.060335992648 -2.69166237380924),379,-2.69,112.060335
POINT (112.031560452929 -2.70447476658897),380,-2.70,112.03156
POINT (112.031560452929 -2.70447476658897),381,-2.70,112.03156
POINT (112.17820953866 -3.13462908808922),382,-3.14,112.178209
POINT (112.17820953866 -3.13462908808922),383,-3.14,112.178209
POINT (112.045755527728 -2.82627905487582),384,-2.83,112.045755
POINT (112.045755527728 -2.82627905487582),385,-2.83,112.045755
POINT (112.117523790801 -3.09319048016925),386,-3.09,112.117523
POINT (112.117523790801 -3.09319048016925),387,-3.09,112.117523
POINT (111.948998358152 -3.25192430058942),388,-3.25,111.948998
POINT (111.948998358152 -3.25192430058942),389,-3.25,111.948998
POINT (111.949364711574 -3.02266767549568),390,-3.02,111.949364
POINT (111.949364711574 -3.02266767549568),391,-3.02,111.949364
POINT (111.972025795396 -2.88138635852723),392,-2.88,111.972025
POINT (111.972025795396 -2.88138635852723),393,-2.88,111.972025
POINT (111.845283822756 -3.02667457695741),394,-3.03,111.845283
POINT (111.845283822756 -3.02667457695741),395,-3.03,111.845283
POINT (111.861967894015 -3.42055716212176),396,-3.42,111.861967
POINT (111.861967894015 -3.42055716212176),397,-3.42,111.861967
POINT (111.906205371841 -2.64108918561465),398,-2.64,111.906205
POINT (111.906205371841 -2.64108918561465),399,-2.64,111.906205
POINT (111.877301805773 -3.10702940362384),400,-3.11,111.877301
POINT (111.877301805773 -3.10702940362384),401,-3.11,111.877301
POINT (112.037472936058 -2.78491583453263),402,-2.79,112.037472
POINT (112.037472936058 -2.78491583453263),403,-2.79,112.037472
POINT (112.015289698622 -2.7615886105899),404,-2.76,112.015289
POINT (112.015289698622 -2.7615886105899),405,-2.76,112.015289
POINT (112.142282849671 -3.03691689268969),406,-3.04,112.142282
POINT (112.142282849671 -3.03691689268969),407,-3.04,112.142282
POINT (112.059360609333 -3.27233646949541),408,-3.27,112.05936
POINT (112.059360609333 -3.27233646949541),409,-3.27,112.05936
POINT (112.078476979947 -3.12068685381297),410,-3.12,112.078476
POINT (112.078476979947 -3.12068685381297),411,-3.12,112.078476
POINT (112.064339528443 -2.86848084841421),412,-2.87,112.064339
POINT (112.064339528443 -2.86848084841421),413,-2.87,112.064339
POINT (112.01929294881 -2.73165100449127),414,-2.73,112.019292
POINT (112.01929294881 -2.73165100449127),415,-2.73,112.019292
POINT (111.967072740019 -2.855867474298),416,-2.86,111.967072
POINT (111.967072740019 -2.855867474298),417,-2.86,111.967072
POINT (111.818024264352 -2.9048638673679),418,-2.91,111.818024
POINT (111.818024264352 -2.9048638673679),419,-2.91,111.818024
POINT (111.807344753104 -2.93671672409937),420,-2.94,111.807344
POINT (111.807344753104 -2.93671672409937),421,-2.94,111.807344
POINT (112.196711828789 -3.22848092723046),422,-3.23,112.196711
POINT (112.196711828789 -3.22848092723046),423,-3.23,112.196711
POINT (112.153929366629 -3.24604494299963),424,-3.25,112.153929
POINT (112.153929366629 -3.24604494299963),425,-3.25,112.153929
POINT (111.841985213456 -3.17155586957138),426,-3.17,111.841985
POINT (111.841985213456 -3.17155586957138),427,-3.17,111.841985
POINT (111.859615638215 -2.99970986791994),428,-3.00,111.859615
POINT (111.859615638215 -2.99970986791994),429,-3.00,111.859615
POINT (112.03745723143 -3.23136445003111),430,-3.23,112.037457
POINT (112.03745723143 -3.23136445003111),431,-3.23,112.037457
POINT (112.149753445714 -3.03454566875868),432,-3.04,112.149753
POINT (112.149753445714 -3.03454566875868),433,-3.04,112.149753
POINT (111.897743199408 -3.19273157038487),434,-3.19,111.897743
POINT (111.897743199408 -3.19273157038487),435,-3.19,111.897743
